87,7
42,4
79,5
20,3
52,5
93,8
78,8
56,6
28,4
91,7
48,5
38,4
15,2
50,6
84,7
96,6
51,5
56,5
13,2
49,6
20,4
54,5
76,6
44,5
45,4
75,7
30,4
15,3
36,4
48,5
100,6
94,8
96,7
16,2
54,5
47,5
87,6
69,5
96,6
32,4
44,5
58,5
74,6
84,7
42,5
65,6
76,5
13,2
41,5
48,5
47,5
12,3
60,5
22,3
39,4
13,3
10,2
100,5
27,4
69,4
82,7
57,5
61,5
34,4
10,3
85,6
52,5
69,5
100,8
74,6
98,7
32,4
47,4
92,7
26,4
70,5
63,5
83,8
99,8
12,3
24,4
41,5
71,6
37,5
51,4
73,6
85,6
65,6
80,7
98,8
90,7
70,5
84,6
41,5
51,6
38,4
91,7
76,6
47,5
96,7
46,5
87,6
19,3
30,4
77,7
41,5
12,3
19,3
41,4
73,6
98,6
82,6
36,4
88,6
45,4
52,5
32,5
37,5
63,6
27,3
50,5
87,8
84,6
51,4
51,6
56,5
97,9
16,3
83,7
47,4
21,3
33,5
76,6
82,6
63,6
83,5
37,4
33,4
87,5
72,6
67,6
48,5
80,6
35,4
90,8
87,8
82,7
96,7
62,4
83,8
73,5
14,3
39,5
92,7
53,5
32,4
91,7
56,6
73,6
37,4
40,5
19,3
47,5
93,6
34,3
64,5
95,7
23,4
64,6
78,6
80,5
81,6
58,5
93,7
51,6
92,7
38,4
64,6
10,3
83,5
57,6
75,6
98,8
51,5
42,5
30,4
67,5
36,4
25,4
58,6
68,6
23,4
80,7
84,6
93,7
30,3
99,8
44,5
22,4
27,4
61,6
17,3
10,2
38,4
67,6
84,6
91,7
97,7
65,5
88,7
79,7
26,4
16,3
52,5
26,4
67,5
40,4
61,5
17,3
41,5
100,6
47,4
23,3
96,6
89,7
72,7
85,6
13,2
27,4
85,6
82,6
23,3
45,5
55,5
28,3
49,5
87,6
89,7
28,4
20,3
95,6
51,5
22,4
62,6
18,3
13,3
79,7
74,7
84,6
87,6
89,7
55,5
43,5
89,6
79,6
67,6
68,6
96,6
76,4
49,5
15,3
79,7
66,6
52,5
66,6
16,3
10,2
76,5
63,5
89,7
15,3
77,6
36,4
11,3
18,4
51,4
74,7
96,7
21,4
98,8
22,4
18,2
34,4
19,3
86,6
38,3
27,4
97,7
37,5
26,4
12,2
43,5
45,5
98,6
36,5
39,3
88,7
33,4
56,5
21,3
37,5
70,6
87,8
59,6
37,4
90,7
56,5
54,5
52,4
56,5
100,6
47,5
56,6
28,4
72,6
17,3
79,7
31,4
72,6
39,4
14,3
76,6
50,5
45,5
12,2
88,8
29,3
76,7
41,4
72,6
43,5
62,5
33,4
88,7
18,3
93,7
70,6
53,5
50,5
37,5
43,4
14,3
96,6
72,7
24,3
64,7
71,6
72,5
39,4
55,5
27,5
43,5
13,3
40,4
46,4
63,6
79,6
79,7
43,4
76,7
88,7
58,5
35,4
27,4
86,6
57,5
56,6
53,5
48,5
13,3
48,6
41,4
45,4
95,6
47,5
77,7
54,6
76,6
30,4
95,6
48,5
35,4
73,6
34,4
53,5
87,6
40,5
53,5
66,5
98,7
68,6
59,5
49,6
63,6
43,4
59,5
49,5
97,7
16,3
86,5
64,5
54,4
52,5
45,4
47,4
75,6
56,5
85,7
73,6
33,4
30,3
88,5
10,2
62,5
53,5
80,7
26,4
83,6
77,5
47,4
97,8
82,6
97,8
46,6
58,6
63,5
56,5
52,6
88,7
58,5
68,5
88,8
37,4
36,4
79,6
40,4
